predictors
ENSG00000183943
ENSG00000182180
ENSG00000175592
ENSG00000111731
ENSG00000166197
ENSG00000198431
ENSG00000174951
ENSG00000243279
ENSG00000132768
ENSG00000106636
ENSG00000118217
ENSG00000145687
ENSG00000197930
ENSG00000105258
ENSG00000106399
ENSG00000155760
ENSG00000066855
ENSG00000168092
ENSG00000141736
ENSG00000116350
ENSG00000062725
ENSG00000069943
ENSG00000135315
ENSG00000174684
ENSG00000069974
ENSG00000134480
ENSG00000065526
ENSG00000160783
ENSG00000171467
ENSG00000213281
ENSG00000170275
ENSG00000101017
ENSG00000136997
ENSG00000137700
ENSG00000123146
ENSG00000003400
ENSG00000143554
ENSG00000109654
ENSG00000163697
ENSG00000170906
ENSG00000100968
ENSG00000023191
ENSG00000205581
ENSG00000152894
ENSG00000131408
ENSG00000133142
ENSG00000145386
ENSG00000163932
ENSG00000116199
ENSG00000117620
ENSG00000100422
ENSG00000159228
ENSG00000133216
ENSG00000070770
ENSG00000110660
ENSG00000000003
ENSG00000175063
ENSG00000142208
ENSG00000119772
ENSG00000080546
ENSG00000135932
ENSG00000137203
ENSG00000129625
ENSG00000166949
ENSG00000138092
ENSG00000136051
ENSG00000106462
ENSG00000142192
ENSG00000149782
ENSG00000104067
ENSG00000214706
ENSG00000010322
ENSG00000135750
ENSG00000163069
ENSG00000004478
ENSG00000184481
ENSG00000002330
ENSG00000183527
ENSG00000179348
ENSG00000124164
ENSG00000103876
ENSG00000165912
ENSG00000103051
ENSG00000181449
ENSG00000179041
ENSG00000117691
ENSG00000100014
ENSG00000014216
ENSG00000120833
ENSG00000148484
ENSG00000204574
ENSG00000103126
ENSG00000133056
ENSG00000112110
ENSG00000204287
ENSG00000154001
ENSG00000163659
ENSG00000135525
ENSG00000117461
ENSG00000125378
ENSG00000103540
ENSG00000144048
ENSG00000132680
ENSG00000100911
ENSG00000130669
ENSG00000076864
ENSG00000128965
ENSG00000111711
ENSG00000113119
ENSG00000134057
ENSG00000128656
ENSG00000092010
ENSG00000196396
ENSG00000156256
ENSG00000121774
ENSG00000132970
ENSG00000173221
ENSG00000163513
ENSG00000184500
ENSG00000008282
ENSG00000101255
ENSG00000184678
ENSG00000116096
ENSG00000182827
ENSG00000159176
ENSG00000213585
ENSG00000083168
ENSG00000164850
ENSG00000163781
ENSG00000166228
ENSG00000172939
ENSG00000065457
ENSG00000109814
ENSG00000136045
ENSG00000085511
ENSG00000115364
ENSG00000156697
ENSG00000097007
ENSG00000178896
